Date & Time,Status,Ambiance Temperature(C),Stack Temperature(C),Stack Voltage(V),Stack Current(A),Stack Power(W),Battery Voltage(V),Computed Stack Power (V*I) [W],Stack Power Error (logged - V*I) [W]
2026-02-17 20:27:54,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:27:55,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:55,NORMAL,16.0,46.0,0.2,20.0,9.2,12.9,4.0,5.199999999999999
2026-02-17 20:27:56,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:56,NORMAL,16.0,46.0,0.2,20.0,9.2,12.9,4.0,5.199999999999999
2026-02-17 20:27:57,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:57,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:27:58,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:27:58,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:27:59,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:27:59,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:00,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:00,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:01,NORMAL,16.0,46.0,0.2,21.0,9.2,12.9,4.2,4.999999999999999
2026-02-17 20:28:01,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:02,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:02,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:03,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:03,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:04,NORMAL,16.0,46.0,0.2,14.0,9.2,12.9,2.8000000000000003,6.399999999999999
2026-02-17 20:28:04,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:05,NORMAL,16.0,46.0,0.2,16.0,9.2,12.9,3.2,5.999999999999999
2026-02-17 20:28:05,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:06,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:06,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
2026-02-17 20:28:07,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:07,NORMAL,16.0,46.0,0.2,18.0,9.2,12.9,3.6,5.6
2026-02-17 20:28:08,NORMAL,16.0,46.0,0.2,17.0,9.2,12.9,3.4000000000000004,5.799999999999999
