timestamp,nbytes,opcode,reg,value,bytes
2026-02-17 20:32:34.626,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:32:35.109,8,138,31.0,1.0,00 20 8A 00 1F 00 01 81
2026-02-17 20:32:35.611,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:32:36.124,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:32:36.623,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:32:37.121,7,138,35.0,385.0,00 20 8A 00 23 01 81
2026-02-17 20:32:37.611,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:32:38.131,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:32:38.615,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:32:39.117,8,138,41.0,1.0,00 20 8A 00 29 00 01 81
2026-02-17 20:32:39.630,8,138,41.0,1.0,00 20 8A 00 29 00 01 81
2026-02-17 20:32:40.131,8,138,38.0,1.0,00 20 8A 00 26 00 01 81
2026-02-17 20:32:40.631,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:32:41.128,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:32:41.626,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:32:42.125,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:32:42.628,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:32:43.130,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:32:43.632,8,138,41.0,1.0,00 20 8A 00 29 00 01 81
2026-02-17 20:32:44.132,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:32:44.638,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:32:45.123,8,138,37.0,1.0,00 20 8A 00 25 00 01 81
2026-02-17 20:32:45.627,8,138,33.0,1.0,00 20 8A 00 21 00 01 81
2026-02-17 20:32:46.124,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:32:46.643,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:32:47.125,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:32:47.639,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:32:48.139,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:32:48.638,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:32:49.139,8,138,36.0,1.0,00 20 8A 00 24 00 01 81
2026-02-17 20:32:49.639,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:32:50.139,8,138,30.0,1.0,00 20 8A 00 1E 00 01 81
2026-02-17 20:32:50.645,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:32:51.169,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:32:51.670,8,138,37.0,1.0,00 20 8A 00 25 00 01 81
2026-02-17 20:32:52.168,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:32:52.664,8,138,37.0,1.0,00 20 8A 00 25 00 01 81
2026-02-17 20:32:53.163,8,138,36.0,1.0,00 1F 8A 00 24 00 01 81
2026-02-17 20:32:53.659,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:32:54.174,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:32:54.673,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:32:55.174,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:32:55.657,8,138,35.0,1.0,00 1F 8A 00 23 00 01 81
2026-02-17 20:32:56.169,8,138,36.0,1.0,00 20 8A 00 24 00 01 81
2026-02-17 20:32:56.670,8,138,31.0,1.0,00 20 8A 00 1F 00 01 81
2026-02-17 20:32:57.172,8,138,35.0,1.0,00 20 8A 00 23 00 01 82
2026-02-17 20:32:57.670,8,138,35.0,1.0,00 20 8A 00 23 00 01 81
2026-02-17 20:32:58.166,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:32:58.676,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:32:59.185,8,138,34.0,2.0,00 20 8A 00 22 00 02 81
2026-02-17 20:32:59.669,8,138,34.0,1.0,00 20 8A 00 22 00 01 81
2026-02-17 20:33:00.183,8,138,34.0,2.0,00 20 8A 00 22 00 02 81
2026-02-17 20:33:00.666,8,138,35.0,1.0,00 1F 8A 00 23 00 01 81
