Date & Time               Status     Amb Temp(C)  Stack Temp(C)   Stack V(V)   Stack I(A)   Stack P(W)   Bat V(V)  
'2/17/2026 8:58:28 PM'    'NORMAL'   16           46.000000       0.200000     19           9.200000     12.900000 
'2/17/2026 8:58:29 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:29 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:30 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:30 PM'    'NORMAL'   16           46.000000       0.200000     14           9.200000     12.900000 
'2/17/2026 8:58:31 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:31 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:32 PM'    'NORMAL'   16           46.000000       0.200000     14           9.200000     12.900000 
'2/17/2026 8:58:32 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:58:33 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:33 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:34 PM'    'NORMAL'   16           46.000000       0.200000     19           9.200000     12.900000 
'2/17/2026 8:58:34 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     13.000000 
'2/17/2026 8:58:35 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:35 PM'    'NORMAL'   16           46.000000       0.200000     16           9.200000     12.900000 
'2/17/2026 8:58:36 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:36 PM'    'NORMAL'   16           46.000000       0.200000     14           9.200000     12.900000 
'2/17/2026 8:58:37 PM'    'NORMAL'   16           46.000000       0.200000     16           9.200000     12.900000 
'2/17/2026 8:58:37 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:38 PM'    'NORMAL'   16           46.000000       0.200000     13           9.200000     12.900000 
'2/17/2026 8:58:38 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:58:39 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:39 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:40 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:58:40 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:58:41 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:41 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:42 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:42 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:43 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:43 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:58:44 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:58:44 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:58:45 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:58:45 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:46 PM'    'NORMAL'   16           46.000000       0.200000     14           9.200000     12.900000 
'2/17/2026 8:58:46 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:47 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:47 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:48 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:48 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:49 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:49 PM'    'NORMAL'   16           46.000000       0.200000     12           9.200000     12.900000 
'2/17/2026 8:58:50 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:58:50 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
'2/17/2026 8:58:51 PM'    'NORMAL'   16           46.000000       0.200000     20           9.200000     12.900000 
'2/17/2026 8:58:51 PM'    'NORMAL'   16           46.000000       0.200000     18           9.200000     12.900000 
'2/17/2026 8:58:52 PM'    'NORMAL'   16           46.000000       0.200000     17           9.200000     12.900000 
